,Canal_id,year,Canal_name,Sample_water_point,TEMP. (oC),  pH,DO (mg/l),H2S (mg/l),BOD (mg/l),COD (mg/l),SS (mg/l),TKN (mg/l),NH3N (mg/l),NO2 (mg/l),NO3 (mg/l),T-P (mg/l),T.Coliform (col/100ml),Sample_water_point (EN),Canal_name (EN)
114,401,2561,คลองบางกรวย,วัดกล้วย (ถ.บางกรวย-ไทรน้อย22) ,29.00,7.40,1.20,0.00,5.00,48.00,18.00,2.80,1.20,0.14,1.30,0.40,4.30E+07,Kluai Temple (Bang Kruai-Sai Noi 22 Rd.) ,Khlong Bang Kruai
115,402,2561,คลองบางกรวย,วัดสำโรง  (สะพานเฉลิมศักดิ์),29.00,7.40,1.00,0.00,6.00,51.00,17.00,2.80,1.50,0.28,1.40,0.30,9.30E+07,Samrong Temple (Chalermsak Bridge),Khlong Bang Kruai
116,411,2561,คลองมหาสวัสดิ์,หน้าวัดชัยพฤกษ์,28.00,7.30,1.80,0.00,4.00,40.00,39.00,0.60,0.00,0.39,2.30,0.20,1.50E+03,In front of Chaiyaphruek Temple,Khlong Mahasawat
117,421,2561,คลองทวีวัฒนา,ถ. ปิ่นเกล้า-นครชัยศรี,28.00,7.10,1.00,0.00,5.00,38.00,7.00,2.20,0.60,0.03,2.10,0.30,1.50E+06,Pinklao-Nakhon Chai Si Rd.,Khlong Thawi Watthana
118,422,2561,คลองทวีวัฒนา,แยกถนนเพชรเกษม  69,28.00,7.20,0.00,0.10,8.00,76.00,7.00,2.20,0.60,0.00,1.80,0.50,2.30E+07,Phetkasem Road Intersection 69,Khlong Thawi Watthana
119,423,2561,คลองทวีวัฒนา,สน. ศาลาแดง,28.00,7.30,1.10,0.00,6.00,49.00,7.00,8.40,3.20,0.00,2.10,0.20,2.40E+06,Saladaeng Police Station,Khlong Thawi Watthana
120,431,2561,คลองสนามชัย,วัดสิงห์,28.00,7.20,1.10,0.00,5.00,50.00,5.00,1.70,0.90,0.59,1.90,0.50,1.10E+07,Wat Singh,Sanamchai Canal
121,432,2561,คลองสนามชัย,วัดเลา,28.00,7.30,1.70,0.00,5.00,52.00,5.00,1.10,0.60,0.54,1.90,0.50,2.40E+08,Wat Lao,Sanamchai Canal
122,433,2561,คลองสนามชัย,สน. ท่าข้าม,28.00,7.20,0.00,1.80,11.00,62.00,8.00,6.20,2.20,0.08,1.60,0.90,2.40E+10,Tha Kham Police Station,Sanamchai Canal
123,434,2561,คลองสนามชัย,วัดบางกระดี่,28.00,7.40,1.70,0.00,5.00,36.00,9.00,3.40,1.50,0.05,2.30,0.80,4.30E+07,Bang Kradi Temple,Sanamchai Canal
124,435,2561,คลองสนามชัย,วัดแสมดำ,28.00,7.40,1.40,0.00,5.00,40.00,11.00,2.80,1.50,0.06,2.70,0.80,2.40E+08,Wat Samae Dam,Sanamchai Canal
125,441,2561,คลองหัวกระบือ,วัดหัวกระบือ,28.00,7.40,1.80,0.00,6.00,50.00,12.00,4.50,2.20,0.00,1.90,0.80,1.10E+09,Buffalo Head Temple,Khlong Hua Krabue
126,451,2561,คลองขุนราชวินิตใจ,หน้า ปตร.คลองขุนฯ,28.00,7.40,3.00,0.00,5.00,195.00,46.00,1.70,0.60,0.24,1.10,0.40,4.00E+04,In front of Khlong Khun Police Station,Khun Ratchawinitjai Canal
127,452,2561,คลองขุนราชวินิตใจ,ตรงข้ามปตร.รางสะแก,28.00,7.80,2.70,0.00,5.00,58.00,12.00,3.40,1.20,0.02,2.10,0.50,2.30E+05,Opposite Rang Sakae Police Station,Khun Ratchawinitjai Canal
128,453,2561,คลองขุนราชวินิตใจ,วัดหัวกระบือ,28.00,7.70,2.80,0.00,5.00,82.00,11.00,4.50,2.50,0.02,1.60,0.70,1.50E+08,Buffalo Head Temple,Khun Ratchawinitjai Canal
129,461,2561,คลองประเวศบุรีรมย์,หน้าวัดลานบุญ,30.00,7.60,1.80,0.00,6.00,42.00,16.00,4.50,2.20,0.39,2.00,0.30,4.00E+06,In front of Wat Lan Bun,Khlong Prawet Burirom
130,462,2561,คลองประเวศบุรีรมย์,สำนักงานเขตลาดกระบัง,30.00,7.60,2.60,0.00,5.00,36.00,19.00,2.80,1.10,0.50,2.00,0.30,2.30E+07,Lat Krabang District Office,Khlong Prawet Burirom
131,463,2561,คลองประเวศบุรีรมย์,ถนนพัฒนาการ,30.00,7.60,1.90,0.00,8.00,45.00,10.00,2.80,1.10,0.10,1.90,0.70,1.10E+09,Phatthanakan Road,Khlong Prawet Burirom
132,471,2561,คลองเชิงตาแพ,ปตร. เชิงตาแพ,28.00,7.50,3.60,0.00,5.00,158.00,21.00,2.20,0.90,0.07,1.30,0.50,9.00E+04,Choeng Ta Phae Police Station,Choeng Ta Phae Canal
133,472,2561,คลองรางหอกหัก,ปตร. วัดลูกโค,28.00,7.60,3.20,0.00,4.00,183.00,53.00,1.10,0.60,0.10,0.80,0.30,2.30E+05,Police Station Luk Kho Temple,Khlong Rang Hok Hak
134,473,2561,คลองรางหอกหัก,ปตร. เรือสัญจร,28.00,7.60,2.70,0.00,4.00,202.00,40.00,1.10,0.60,0.21,1.00,0.50,4.00E+04,Traffic boat patrol,Khlong Rang Hok Hak
135,481,2561,คลองบางจาก,โรงกลั่นน้ำมันบางจาก (เขตพระโขนง),28.00,7.60,0.00,0.30,20.00,72.00,21.00,13.40,4.50,0.02,1.90,1.40,2.30E+09,Bangchak Oil Refinery (Phra Khanong District),Khlong Bang Chak
136,491,2561,คลองบางรัก,ถนนจรัญสนิทวงค์,29.00,7.00,0.00,0.10,7.00,47.00,10.00,9.00,7.60,0.00,1.30,0.80,2.30E+11,Charansanitwong Road,Khlong Bang Rak
137,501,2561,คลองบางกะปิ,ปตร. บางกะปิ,28.00,7.40,1.00,0.00,12.00,61.00,20.00,17.90,2.80,0.73,8.10,2.90,1.10E+11,Bang Kapi Police Station,Khlong Bang Kapi
138,511,2561,คลองบางเขน,ปตร. บางเขนเก่า,25.00,7.50,2.70,0.00,4.00,47.00,28.00,0.60,0.30,0.00,1.90,0.10,2.80E+05,Old Bang Khen Police Station,Khlong Bang Khen
139,512,2561,คลองบางเขน,วัดทางหลวง,25.00,7.50,0.00,0.20,9.00,66.00,5.00,3.40,1.10,0.04,1.10,0.40,1.10E+07,highway temple,Khlong Bang Khen
140,513,2561,คลองบางเขน,ข้างทัณฑสถานบางเขน,25.00,7.50,0.00,0.70,14.00,83.00,9.00,5.60,2.20,0.02,1.20,0.90,1.10E+07,Next to Bang Khen Correctional Institution,Khlong Bang Khen
141,514,2561,คลองบางเขน,ชุมชนบางบัว,25.00,7.40,1.30,0.00,9.00,46.00,10.00,7.30,4.50,0.00,1.20,0.90,3.90E+05,Bang Bua Community,Khlong Bang Khen
142,515,2561,คลองบางเขน,ใกล้โรงงานปรับปรุงคุณภาพน้ำบางบัว,25.00,7.50,1.20,0.00,6.00,46.00,11.00,4.50,1.50,0.00,1.10,0.60,2.10E+06,Near the Bang Bua water quality improvement factory.,Khlong Bang Khen
143,516,2561,คลองบางเขนใหม่,ถนนพิบูลย์สงคราม,25.00,7.60,2.30,0.00,6.00,49.00,20.00,1.10,0.60,0.00,1.70,0.10,1.50E+05,Phibunsongkram Road,Khlong Bang Khen Mai
144,521,2561,คลองบางยี่ขัน,วัดพระศิริไอยสวรรค์,29.00,7.10,0.30,0.00,10.00,50.00,19.00,7.80,3.90,0.00,1.60,0.70,1.10E+11,Wat Phra Siri Aiya Sawan,Khlong Bang Yi Khan
145,522,2561,คลองบางยี่ขัน,ถนนจรัญสนิทวงค์,29.00,7.30,0.00,0.30,13.00,55.00,19.00,12.90,8.10,0.01,1.90,1.00,4.30E+11,Charansanitwong Road,Khlong Bang Yi Khan
146,523,2561,คลองบางยี่ขัน,ซอยบรมราชชนนี  2,29.00,7.40,0.00,0.10,7.00,46.00,12.00,3.40,1.70,0.00,1.80,0.80,4.30E+11,Soi Borommaratchachonnani 2,Khlong Bang Yi Khan
147,531,2561,คลองบางจาก,วัดเปาว์โลหิต (เขตบางพลัด),29.00,7.40,0.00,0.30,12.00,48.00,10.00,10.10,4.20,0.01,1.40,1.00,1.50E+11,Wat Pao Lohit (Bang Phlat District),Khlong Bang Chak
148,541,2561,คลองบางพลู,วัดภาณุรังสี,29.00,7.40,0.00,0.30,15.00,59.00,16.00,12.90,4.50,0.01,1.70,1.40,9.30E+07,Phanurangsi Temple,Khlong Bang Phlu
149,551,2561,คลองบางพลัด,ถนนจรัญสนิทวงค์,29.00,7.50,0.00,0.20,11.00,44.00,16.00,8.40,4.50,0.00,1.70,1.10,9.30E+09,Charansanitwong Road,Khlong Bang Phlat
150,561,2561,คลองพระครู,ถนนจรัญสนิทวงค์,29.00,7.50,0.00,0.10,10.00,41.00,10.00,11.20,9.00,0.00,1.60,0.80,2.40E+12,Charansanitwong Road,Khlong Phrakru
151,571,2561,คลองบางโพ,สน. บางโพ,28.00,7.20,0.00,0.40,23.00,90.00,12.00,11.20,5.60,0.01,1.60,1.10,2.30E+13,Bang Pho Police Station,Khlong Bang Pho
152,572,2561,คลองบางโพ,ถนนประชาราษฏร์สาย 1,28.00,7.30,0.00,0.40,32.00,99.00,14.00,9.50,4.50,0.02,1.50,1.00,2.30E+13,Pracharat Sai 1 Road,Khlong Bang Pho
153,581,2561,คลองหลุมไผ่,ถนนลาดปลาเค้า,28.00,7.30,0.00,0.10,15.00,65.00,6.00,9.00,1.10,0.67,2.40,1.30,4.60E+10,Lat Pla Khao Road,Khlong Lum Phai
154,582,2561,คลองหลุมไผ่,ซ. ลาดปลาเค้า 47,28.00,7.50,1.40,0.00,6.00,36.00,8.00,6.20,1.10,0.42,2.10,0.80,1.10E+11,Soi Lat Pla Khao 47,Khlong Lum Phai
155,591,2561,คลองกุ่ม,หมู่บ้านสหกรณ์ (ซ.28),28.00,7.40,0.00,0.50,30.00,91.00,12.00,15.70,7.60,0.02,2.70,2.10,2.40E+10,Cooperative Village (Soi 28),Khlong Kum
156,592,2561,คลองกุ่ม,ถ. สุขาภิบาล 2,28.00,7.60,0.00,0.20,17.00,80.00,4.00,8.40,4.50,0.01,2.20,1.70,4.60E+10,Sukhaphiban 2 Rd.,Khlong Kum
157,601,2561,คลองพังพวย,ถ. สุขาภิบาล 1,28.00,7.50,0.00,0.40,24.00,87.00,5.00,14.60,11.80,0.01,2.90,2.00,4.30E+09,Sukhapiban Rd. 1,Khlong Phang Phuai
158,602,2561,คลองพังพวย,หลังแฟลตคลองจั่น ซ.57,28.00,7.60,2.30,0.00,11.00,59.00,9.00,8.40,3.20,0.00,1.70,1.30,9.30E+09,"Behind Khlong Chan Flats, Soi 57",Khlong Phang Phuai
159,611,2561,คลองเตย,ปตร. คลองเตย,28.00,7.30,0.00,1.00,32.00,97.00,9.00,13.40,5.60,0.00,2.10,2.10,2.10E+11,Khlong Toei Police Station,Khlong Toei
160,612,2561,คลองเตย,อาคารทวิช,28.00,7.40,0.00,0.70,35.00,95.00,143.00,21.80,16.80,0.00,2.80,2.50,9.30E+11,Twitch Building,Khlong Toei
161,621,2561,คลองวัดดอน,ซ. เจริญกรุง 57,28.00,7.10,1.20,0.00,7.00,47.00,18.00,1.10,0.30,0.08,2.00,0.20,1.20E+06,Soi Charoen Krung 57,Khlong Wat Don
162,631,2561,คลองต้นไทร,ถ. เจริญนคร 17,27.00,7.20,0.00,0.20,17.00,66.00,14.00,8.40,3.10,0.02,1.10,0.90,1.10E+13,Charoen Nakhon Rd. 17,Khlong Ton Sai
163,641,2561,คลองวัดทองเพลง,วัดทองเพลง,27.00,7.20,0.00,0.50,15.00,55.00,24.00,9.50,2.20,0.01,1.10,1.00,2.10E+12,Wat Thong Phleng,Khlong Wat Thong Phleng
164,642,2561,คลองวัดทองเพลง,ถนนเจริญนคร,27.00,7.10,0.00,0.30,23.00,97.00,14.00,6.70,2.50,0.01,0.90,0.80,4.60E+12,Charoen Nakhon Road,Khlong Wat Thong Phleng
165,651,2561,คลองหัวลำโพง,หน้าเขตคลองเตย,28.00,7.40,0.00,1.20,33.00,82.00,8.00,14.00,5.60,0.00,2.00,2.10,4.60E+14,In front of Khlong Toei District,Khlong Hua Lamphong
166,661,2561,คลองกรวย,ซ. เจริญกรุง 71,28.00,7.30,1.60,0.00,7.00,32.00,17.00,2.20,0.80,0.06,2.10,0.10,9.30E+05,Soi Charoen Krung 71,Khlong Kruai
167,671,2561,คลองด่าน,ถนนเทอดไทย,29.00,7.50,2.10,0.00,5.00,22.00,10.00,1.10,0.30,0.06,1.50,0.50,1.10E+07,Theot Thai Road,Khlong Dan
168,672,2561,คลองด่าน,ท่าน้ำวัดนางนองวรวิหาร (ถ.วุฒากาศ),29.00,7.50,1.40,0.00,5.00,25.00,11.00,1.10,0.30,0.06,1.50,0.40,1.10E+07,Wat Nang Nong Worawihan Pier (Wutthakat Road),Khlong Dan
169,691,2561,คลองลาดยาว,ถนนวิภาวดีรังสิต,28.00,7.20,0.00,0.30,36.00,99.00,15.00,21.30,14.00,0.01,2.60,2.40,7.00E+10,Vibhavadi Rangsit Road,Khlong Lat Yao
170,692,2561,คลองลาดยาว,ถนนรัชดาภิเษก,28.00,7.30,0.00,0.20,15.00,63.00,8.00,14.00,7.00,0.01,1.40,1.40,1.20E+12,Ratchadaphisek Road,Khlong Lat Yao
171,701,2561,คลองพญาเวิก,ถนนลาดพร้าว (ซอยลาดพร้าว 5/1) ,28.00,7.50,0.00,0.10,7.00,43.00,6.00,11.20,3.20,0.01,0.90,1.50,1.10E+11,Lat Phrao Road (Soi Lat Phrao 5/1) ,Khlong Phaya Wek
172,711,2561,คลองน้ำแก้ว,ถนนลาดพร้าว (ซอยลาดพร้าว 35) ,28.00,7.50,0.00,0.30,16.00,67.00,8.00,17.30,4.50,0.01,1.40,2.00,2.80E+11,Lat Phrao Road (Soi Lat Phrao 35) ,Khlong Nam Kaew
173,712,2561,คลองน้ำแก้ว,ถนนรัชดาภิเษก,28.00,7.50,0.70,0.00,7.00,38.00,6.00,10.10,2.50,0.00,1.40,1.50,1.50E+14,Ratchadaphisek Road,Khlong Nam Kaew
174,721,2561,คลองสวนหลวง 1,ถนนพระราม 1 (แยกเจริญผล),29.00,7.50,0.00,0.30,39.00,106.00,17.00,11.80,5.60,0.03,2.50,2.10,4.60E+12,Rama 1 Road (Charoen Phon Intersection),Khlong Suan Luang 1
175,722,2561,คลองสวนหลวง 1,ถนนเจริญเมือง,29.00,7.50,0.00,0.40,21.00,84.00,13.00,7.80,4.50,0.01,1.60,1.10,9.30E+13,Charoen Mueang Road,Khlong Suan Luang 1
176,741,2561,คลองบางกระบือ,ถนนสามเสน (บริษัท บุญรอด บิวเวอรี่),28.00,7.50,1.70,0.00,5.00,42.00,13.00,1.10,0.60,0.15,1.80,0.40,4.00E+08,Samsen Road (Boon Rawd Brewery Company),Bang Krabue Canal
177,751,2561,คลองนาซอง,ถนนประชาสงเคราะห์ (ซอยพาณิชจำนงค์),28.00,7.50,0.00,0.50,63.00,132.00,51.00,33.60,17.90,0.03,3.40,2.60,1.10E+15,Pracha Songkhro Road (Soi Phanitchamnong),Na Song Canal
178,752,2561,คลองนาซอง,ถนนพระราม 9 (สถานีสูบน้ำนาซอง),28.00,7.60,0.00,5.00,62.00,123.00,15.00,33.60,9.80,0.03,3.10,2.60,1.10E+15,Rama 9 Road (Nasong Pumping Station),Na Song Canal
179,761,2561,คลองบางสะแก,ถนนเทอดไทย (สะพานเทศบาล 11),29.00,7.40,0.00,0.50,28.00,94.00,26.00,8.40,4.50,0.00,1.50,1.00,4.30E+09,Thet Thai Road (Thetsaban Bridge 11),Khlong Bang Sakae
180,762,2561,คลองบางสะแก,ถนนเทอดไทย  ซอย 33 (วัดบางสะแกใน),29.00,7.30,0.00,0.40,27.00,106.00,25.00,10.60,5.60,0.00,1.60,1.00,9.30E+09,"Theot Thai Road, Soi 33 (Wat Bang Sakae Nai)",Khlong Bang Sakae
181,771,2561,คลองวัดอนงค์,หน้าวัดอนงค์,27.00,7.10,0.00,0.50,27.00,80.00,15.00,9.50,2.50,0.00,1.50,1.40,4.60E+14,In front of Wat Anong,Khlong Wat Anong
182,781,2561,คลองสองต้นนุ่น,หลังโรงงานปรับปรุงคุณภาพน้ำร่มเกล้า,29.00,7.50,1.00,0.00,5.00,58.00,29.00,3.40,2.20,0.07,2.60,0.20,2.40E+14,After the factory improved the quality of Romklao water,Khlong Song Ton Nun
183,782,2561,คลองสองต้นนุ่น,ซ.รามคำแหง 209,29.00,7.40,1.50,0.00,5.00,50.00,60.00,2.80,1.50,0.02,2.20,0.30,1.10E+15,Soi Ramkhamhaeng 209,Khlong Song Ton Nun
184,791,2561,คลองบางลำภูล่าง,วัดเศวตฉัตร  (คลองสาน),27.00,7.20,0.00,0.80,15.00,68.00,45.00,12.90,1.10,0.00,1.50,1.20,2.80E+11,Wat Sawetchat (Khlong San),Bang Lamphu Lang Canal
185,801,2561,คลองวัดราชา,วัดราชา,28.00,6.90,2.60,0.00,6.00,65.00,15.00,2.20,1.20,0.06,2.00,0.20,1.10E+09,Wat Racha,Wat Racha Canal
186,811,2561,คลองบุปผา,สน.บุปผาราม,29.00,7.50,1.90,0.00,5.00,54.00,14.00,2.20,0.30,0.09,1.60,0.30,2.40E+08,Buppharam Police Station,Klong Buppa
187,821,2561,คลองบางผักหนาม,ซอยจรัญฯ  41,29.00,7.50,0.00,0.30,10.00,52.00,13.00,6.20,3.20,0.00,1.60,0.80,4.60E+12,Soi Charan 41,Khlong Bang Phaknam
188,831,2561,คลองบางบัวหรุ,ซอยจรัญฯ  45,29.00,7.50,0.00,0.50,12.00,50.00,11.00,2.80,1.10,0.01,1.70,0.70,2.40E+12,Soi Charan 45,Khlong Bang Bua Ru
189,841,2561,คลองควาย,ถนนพุทธมณฑลสาย  2,28.00,7.30,1.20,0.00,5.00,31.00,28.00,1.70,0.80,0.00,2.20,0.30,2.10E+06,Phutthamonthon Sai 2 Road,Khlong Khwai
190,851,2561,คลองบัว,ถนนสวนผัก  46,28.00,7.40,2.30,0.00,4.00,66.00,9.00,2.80,1.10,0.00,2.00,0.30,4.60E+06,Suan Phak Road 46,Khlong Bua
191,861,2561,คลองเจ็ก,ถนนสุขาภิบาล 3 ซ.รามคำแห่ง 149,29.00,7.50,2.10,0.00,5.00,69.00,12.00,1.20,0.60,0.01,2.10,0.50,4.60E+08,"Sukhapiban Road 3, Soi Ramkhamhaeng 149",Khlong Chek
192,871,2561,คลองหลอแหล,ถนนสุขาภิบาล 3 ซ.รามคำแห่ง 157/3,29.00,7.50,1.50,0.00,9.00,72.00,9.00,7.80,4.50,0.00,1.60,0.70,4.60E+08,"Sukhapiban Road 3, Soi Ramkhamhaeng 157/3",Khlong Lo Lae
193,872,2561,คลองหลอแหล,ถนนสุขาภิบาล 3 ซ.รามคำแห่ง 162,29.00,7.50,1.40,0.00,5.00,39.00,16.00,5.00,2.50,0.02,2.10,0.40,2.40E+08,"Sukhapiban Road 3, Soi Ramkhamhaeng 162",Khlong Lo Lae
194,873,2561,คลองหลอแหล,ถนนสุขาภิบาล ตลาดสด ชีรอ,29.00,7.50,1.60,0.00,5.00,51.00,15.00,5.00,2.20,0.01,2.00,0.40,4.60E+08,"Sukhaphiban Road, Fresh Market, Chiro",Khlong Lo Lae
195,881,2561,คลองบางชัน,ถนนสุขาภิบาล 3 ตรงข้ามธาราการ์เด้น,29.00,7.50,1.40,0.00,5.00,50.00,11.00,5.00,1.50,0.00,1.90,0.40,4.60E+08,"Sukhaphiban 3 Road, opposite Thara Garden",Khlong Bang Chan
196,891,2561,คลองลาดบัวขาว,ถนนราษฎร์พัฒนา รร.สุเหร่าลาดบัวขาว,27.00,7.30,1.90,0.00,7.00,69.00,19.00,1.70,0.60,0.15,1.90,0.50,1.10E+07,Rat Phatthana Road Mosura Lat Buakhao School,Khlong Lat Bua Khao
197,892,2561,คลองลาดบัวขาว,วัดลาดบัวขาว,27.00,7.40,3.20,0.00,7.00,58.00,11.00,2.20,1.50,0.40,2.00,0.40,1.10E+07,Wat Lat Bua Khao,Khlong Lat Bua Khao
198,901,2561,คลองลำนายโส,ถนนราษฎร์พัฒนา รร.สุเหร่าลำนายโส,27.00,7.30,1.40,0.00,6.00,44.00,32.00,2.20,1.50,0.26,2.20,0.30,4.30E+07,Rat Phatthana Road Lam Nai So Mosque School,Lam Nai So Canal
199,902,2561,คลองลำนายโส,วัดปากบึง,27.00,7.30,1.80,0.00,6.00,35.00,38.00,1.70,0.60,0.38,2.40,0.20,4.30E+07,Pak Bueng Temple,Lam Nai So Canal
200,911,2561,คลองบึงขวาง,ถนนร่มเกล้า ชุมชนพัฒนาบึงบัว,27.00,7.30,2.10,0.00,6.00,32.00,38.00,1.10,0.30,0.33,2.40,0.20,1.10E+05,"Romklao Road, Bueng Bua Phatthana Community",Khlong Bueng Khwang
201,921,2561,คลองทรายกองดิน,ถนนราษฎร์อุทิศ สุเหร่าทรายกองดิน,27.00,7.40,2.20,0.00,5.00,53.00,12.00,3.40,1.10,0.05,1.60,0.10,2.30E+05,Rat Uthit Road Sai Kong Din Mosque,Khlong Sai Kong Din
202,941,2561,คลองลำหิน,ถ.คู่คลองสิบ สะพานข้ามคลอง,28.00,7.00,2.70,0.00,4.00,36.00,64.00,1.70,0.80,0.03,2.10,0.10,7.00E+04,"Khlong Sip Road, bridge over the canal",Khlong Lam Hin
